Title,Artist,Difficulty,Score,Grade,Lamp
"Silent Flame,Never Fade","不知火フレア","MXM","9871850","AAA+","CLEAR"
"Smile & Go!!","不知火フレア","MXM","9871928","AAA+","CLEAR"
"Homesick Pt.2&3","covered by 不知火フレア","MXM","9975514","S","CLEAR"
"Excelsia","ak+q","MXM","9783587","AAA","CLEAR"
"cyanotype","Synthion","MXM","9924438","S","CLEAR"
"G.L.I.T.C.H.","Yuta Imai feat. 重音テト","MXM","9747697","AAA","CLEAR"
"COLOR BURST","Rainy。","MXM","9924242","S","CLEAR"
"GO!","Juggernaut.","MXM","9705031","AAA","CLEAR"
"Thunderstorm","nagomu tamaki","MXM","9935189","S","CLEAR"
"SILKY BRAVE","DJ Shimamura","MXM","9962140","S","CLEAR"
"Meteor☆Shower","Tatsunoshin","MXM","9814902","AAA+","CLEAR"
"RIZING-GAMERS.","BlackY","MXM","9875444","AAA+","CLEAR"
"RUINA","Dustup VS MAX MAXIMIZER","EXH","9878378","AAA+","CLEAR"
"Roar of Chronos","BEMANI Sound Team ""KE!JU""","MXM","9652310","AA+","CLEAR"
"シュガーリィ♡メルトダウン","AXURA × 星名はる","MXM","9774988","AAA","CLEAR"
"Dot to Dot","Mameyudoufu feat. shully","EXH","10000000","S","PUC"
"Dot to Dot","Mameyudoufu feat. shully","MXM","9939094","S","CLEAR"
"Circumzenith Arc","Aoi","EXH","9932855","S","CLEAR"
"Down with your Love","Juggernaut.","EXH","9935446","S","EXC CLEAR"
"Down with your Love","Juggernaut.","MXM","9563784","AA+","CLEAR"
"華麗なる！音戯探偵ひなビタ♫","音戯探偵ひなビタ♫","MXM","9679365","AA+","CLEAR"
"XELENOPHOEBEA","qfeileadh","EXH","9907341","S","CLEAR"
"DANGER XLOZE","EYEN(seatrus+kuro)","EXH","9959959","S","CLEAR"
"DANGER XLOZE","EYEN(seatrus+kuro)","MXM","9494360","AA","CLEAR"
"えんじぇる☆てすと！","irucaice feat. 初音ミク","MXM","9908835","S","CLEAR"
"ShowDawn","Capchii × Uzumaki","EXH","9955727","S","CLEAR"
"ShowDawn","Capchii × Uzumaki","MXM","9517374","AA+","CLEAR"
"Pick up, Me!","Capchii feat. 初音ミク","EXH","9913743","S","CLEAR"
"Pick up, Me!","Capchii feat. 初音ミク","MXM","9130352","A+","FAILED"
"ミスクレイジースピード","cosMo＠暴走P feat. 初音ミク","MXM","9659146","AA+","CLEAR"
"Anti-Matter","Orbit1 & Milo","MXM","9631578","AA+","CLEAR"
"Veins Resonance","めと（Metomate）","MXM","9775690","AAA","CLEAR"
"Glitch N Ride","Eagle","EXH","9982626","S","EXC CLEAR"
"Glitch N Ride","Eagle","MXM","9772324","AAA","EXC CLEAR"
"9th Outburst","Zekk","MXM","9924196","S","CLEAR"
"fixer","PHQUASE vs. dj TAKA","EXH","9954106","S","CLEAR"
"fixer","PHQUASE vs. dj TAKA","MXM","8718574","A","FAILED"
"Mermaid girl","Cream puff","MXM","9937908","S","CLEAR"
"Votum stellarum -forest #25 RMX-","iconoclasm","MXM","9958920","S","CLEAR"
"華麗なる一撃","TAKIO feat. 駄々子","MXM","9841810","AAA+","CLEAR"
"紅焔","PON","MXM","9939135","S","CLEAR"
"Zt!ri△","m@sumi vs RoughSketch","EXH","9851455","AAA+","CLEAR"
"Zt!ri△","m@sumi vs RoughSketch","MXM","9602215","AA+","CLEAR"
"chaplet","DJ TOTTO","MXM","9807339","AAA+","CLEAR"
"天鯨譚","テヅカ x otoshi.b","MXM","9724660","AAA","CLEAR"
"Plan 8","Ryu☆","EXH","9914979","S","CLEAR"
"Plan 8","Ryu☆","MXM","9775960","AAA","CLEAR"
"CAKE,Cake'n Cake!","苺咲べりぃ","MXM","9920212","S","CLEAR"
"Blue Diamond","青龍改","EXH","9906250","S","CLEAR"
"Blue Diamond","青龍改","MXM","9291029","A+","FAILED"
"ИEXTAGE","polysha&Ashrount","MXM","9331453","AA","FAILED"
"イガク","原口沙輔","MXM","9747942","AAA","CLEAR"
"いますぐ輪廻","なきそ","MXM","9980139","S","UC"
"L (SDVX ver.)","Ice","MXM","9870277","AAA+","CLEAR"
"L2 -Reminiscence- (SDVX ver.)","Ice","EXH","9990259","S","UC"
"L2 -Reminiscence- (SDVX ver.)","Ice","MXM","9568452","AA+","CLEAR"
"お返事まだカナ？おじさん構文！","吉本おじさん","MXM","9711055","AAA","CLEAR"
"稲田姫様に叱られちゃいました＃ ～ Romantic Shortfall","りりぃろっくfeat.ЄИ1GM4&桃寝ちのい","MXM","9661087","AA+","CLEAR"
"サイエンス","MIMI","MXM","9979487","S","CLEAR"
"Synthesis.","tn-shi","EXH","9990821","S","UC"
"Synthesis.","tn-shi","MXM","9795008","AAA","CLEAR"
"snooze","wotaku feat. SHIKI","MXM","9965079","S","CLEAR"
"777 (Vocal ver.)","RoughSketch feat.ななひら","EXH","9955123","S","EXC CLEAR"
"777 (Vocal ver.)","RoughSketch feat.ななひら","MXM","9233961","A+","FAILED"
"Celestial Conquest","xi","EXH","9975859","S","UC"
"Celestial Conquest","xi","MXM","9560017","AA+","CLEAR"
